番号,単語,意味,解説文
8,allow,〜を許可する；〜を認める；（時間や金など）を与える,"allow A to do「Aが〜するのを許可する」の形が超重要です。allow for ~「〜を考慮に入れる」も入試頻出。派生語：allowance（名：お小遣い、許容量）。"
25,affect,〜に影響を及ぼす；〜の心を動かす,"名詞のeffect（効果・影響）との区別が非常によく狙われます。affectは「動詞」として使われるのが基本です。例：The cold weather affected the crops."
27,avoid,〜を避ける；〜を回避する,"後ろに動詞がくる場合は必ず動名詞（avoid doing）になります。to不定詞は不可。派生語：avoidable（形：回避できる）。"
42,accord,一致する；〜を一致させる；協定；合意,"重要フレーズ：in accord with ~（〜と一致して・調和して）。派生語：accordingly（副：それに応じて、したがって）。"
65,article,記事；論説；品物；（法律などの）条項,"新聞や雑誌の「記事」という意味が最も一般的ですが、an article of clothing（衣類1点）のように「品物」を表すこともあります。"
79,appropriate,適切な；ふさわしい,"重要フレーズ：be appropriate for ~（〜に適切である）。派生語：appropriately（副：適切に）。対義語はinappropriate（不適切な）。"
93,available,手に入る；利用できる；（人が）時間が空いている,"重要フレーズ：be available for ~（〜に利用できる）。「予定が空いている」という意味で、Are you available tomorrow?（明日時間ある？）のようにも使います。"
98,ancient,古代の；大昔の,"対義語はmodern（現代の）。重要フレーズ：ancient history（古代史）。非常に古い歴史や建物を指すときに使います。"
103,approach,〜に近づく；（問題などに）取り組む；接近；アプローチ,"他動詞なので approach to the city ではなく approach the city と直接目的語を取る点に注意。名詞では approach to ~（〜への接近・取り組み方）となります。"
109,argue,〜と主張する；議論する；言い争う,"that節を伴って「〜だと強く主張する」という意味でよく使われます。派生語：argument（名：議論・主張）。"
114,advance,進歩する；〜を進める；進歩；前進,"重要フレーズ：in advance（あらかじめ、前もって）。派生語：advanced（形：進んだ、上級の）。"
118,achieve,〜を達成する；〜を成し遂げる,"努力の末に目標を達成するニュアンスがあります。重要フレーズ：achieve success（成功を収める）。派生語：achievement（名：達成、業績）。"
127,apply,申し込む；〜を適用する；当てはまる,"重要フレーズ：apply for ~（〜に申し込む）、apply to ~（〜に適用される・当てはまる）。派生語：application（名：応募、アプリ）。"
147,account,説明；報告；口座；（割合を）占める,"重要フレーズ：account for ~（〜を説明する、〜の割合を占める）、take ~ into account（〜を考慮に入れる）。"
158,advantage,利点；優位；長所,"重要フレーズ：take advantage of ~（〜を利用する・につけ込む）。対義語はdisadvantage（不利な点）。"
169,access,接近；利用する権利；〜にアクセスする,"名詞・動詞どちらの形も重要です。重要フレーズ：have access to ~（〜を利用できる・にアクセスできる）。"
172,attitude,態度；考え方；姿勢,"重要フレーズ：attitude toward ~（〜に対する態度）。take a positive attitude（前向きな態度をとる）のように使います。"
174,aspect,（物事の）側面；局面；外観,"重要フレーズ：every aspect of life（生活のあらゆる側面）。物事を異なる角度から見たときの一面を表します。"
189,academic,学問の；大学の；学術的な,"派生語：academy（名：専門学校・学会）。重要フレーズ：academic achievement（学業成績）。"
190,aware,気づいて；知って,"重要フレーズ：be aware of ~ / be aware that節（〜に気づいている）。対義語はunaware（気づいていない）。"
193,active,活発な；積極的な；活動的な,"対義語はpassive（受動的な、消極的な）。派生語：activity（名：活動）、activate（動：〜を活性化する）。"
205,attend,〜に出席する；〜に注意を向ける；（病人の）世話をする,"他動詞として「出席する（attend the meeting）」、自動詞として attend to ~（〜に注意を払う・対応する）の両方を覚えましょう。派生語：attendance（名：出席）。"
211,associate,〜を結びつけて考える；連想する；交際する,"重要フレーズ：associate A with B（AからBを連想する、AとBを結びつける）。派生語：association（名：協会、連想）。"
212,attempt,〜を試みる；〜に挑戦する；試み；企て,"重要フレーズ：attempt to do（〜しようと試みる）。make an attempt（試みる）。"
222,attract,〜を引きつける；（興味・注意）をそそる,"重要フレーズ：attract attention（注目を集める）。派生語：attractive（形：魅力的な）、attraction（名：引きつけること、アトラクション）。"
227,adapt,〜を適応させる；順応する；（作品を）改作する,"重要フレーズ：adapt to ~（〜に順応する）、adapt A for B（AをB用に変える・脚色する）。派生語：adaptation（名：適応、脚色）。"
236,assume,〜と仮定する；（証拠なしに）〜と思い込む；（責任・任務）を引き受ける,"that節を伴って「（当然）〜だと思う」と推測する意味で多用されます。派生語：assumption（名：仮定、想定）。"
251,audience,聴衆；観客；（テレビの）視聴者,"集合的に人を表す名詞で、聴衆の「数」が多いときは large、少ないときは small で表します（manyやfewで修飾するのは不可）。"
273,aim,目指す；狙う；目的；目標,"重要フレーズ：aim to do / aim at doing（〜することを目指す）。名詞としては with the aim of ~（〜という目的で）。"
274,ancestor,祖先；先祖,"対義語はdescendant（子孫）。重要フレーズ：common ancestor（共通の祖先）。"
297,actual,実際の；現実に起こっている,"形は形容詞ですが、副詞形の actually（実は、実際に）がリスニングや長文で非常に重要です。"
314,adopt,〜を採用する；（態度など）をとる；〜を養子にする,"adapt（適応させる）とのスペル・意味の混同に注意。重要フレーズ：adopt a new method（新しい方法を採用する）。派生語：adoption（名：採用、養子縁組）。"
315,acquire,〜を習得する；〜を手に入れる,"時間をかけて知識や言語、技術を「身に付ける」ニュアンス。重要フレーズ：acquire a language（言語を習得する）。派生語：acquisition（名：獲得、習得）。"
330,address,（問題など）に対処する；〜に演説する；住所；演説,"重要フレーズ：address a problem（問題に対処する）。「住所」や「メールアドレス」以外に、動詞としての「対処する」という意味が超重要です。"
340,appreciate,〜を正当に評価する；〜を感謝する；〜を鑑賞する,"感謝の対象には「人」ではなく「事柄（行為）」がきます（例：I appreciate your help.）。派生語：appreciation（名：感謝、鑑賞）。"
345,atmosphere,雰囲気；大気；空気,"重要フレーズ：friendly atmosphere（親しみやすい雰囲気）。地球を取り巻く「大気」から、その場の「空気感」まで表します。"
356,authority,権威；権限；（関係）当局,"重要フレーズ：the authorities（当局、警察など ※通常複数形）。have the authority to do（〜する権限がある）。"
363,analysis,分析,"複数形は analyses とスペルが変わるので注意。派生語：analyze（動：〜を分析する）。"
375,agriculture,農業；農学,"派生語：agricultural（形：農業の）。sustainable agriculture（持続可能な農業）などのフレーズで長文によく出ます。"
382,accurate,正確な；精密な,"事実に対して間違いがない状態を指します。対義語はinaccurate（不正確な）。派生語：accuracy（名：正確さ）。"
384,artificial,人工の；作り物の,"対義語はnatural（自然の）。重要フレーズ：AI = Artificial Intelligence（人工知能）。"
406,admit,〜を（しぶしぶ）認める；〜への入場［入学］を許可する,"重要フレーズ：admit doing（〜したことを認める）。that節を伴って「事実だと認める」という意味でもよく使われます。派生語：admission（名：入場許可、入場料）。"
409,amaze,〜をひどく驚かせる,"感情を表す動詞なので、人が主語のときは be amazed at ~（〜に驚く）の形をとります。派生語：amazing（形：驚くべき）、amazement（名：驚き）。"
412,afford,〜をする余裕がある；〜を与える,"通常は can [be able to] afford to do（〜する余裕がある）の形で、金銭的・時間的なゆとりを表します。派生語：affordable（形：手頃な価格の）。"
414,advertise,〜を宣伝する；広告を出す,"テレビやネットなどで製品やサービスを「広告する」という意味。派生語：advertisement（名：広告 ※略してadとも言う）、advertising（名：広告業）。"
418,aid,〜を援助する；〜を助ける；援助；助け,"helpよりも少し硬い表現です。重要フレーズ：first aid（応急手当）。国同士の経済援助（economic aid）などの文脈でも頻出します。"
426,appeal,訴える；（心）を引きつける；魅力；訴え,"重要フレーズ：appeal to ~（〜に訴えかける・〜にとって魅力的である）。名詞として「魅力」という意味（sex appealなど）もあります。"
486,annual,年1回の；毎年の；1年間の,"重要フレーズ：annual event（年中行事）。副詞形の annually（毎年、年に1回）も読解で非常によく使われます。"
510,announce,〜を発表する；〜を告知する,"公式な場で大衆に向けて意見や決定を「アナウンスする」という意味。派生語：announcement（名：発表・告知）、announcer（名：アナウンサー）。"
521,arise,（問題などが）生じる；起こる,"主語には問題（problem）や疑問（question）などがよくきます。活用は arise - arose - arisen で、自動詞（〜が起こる）である点に注意。"
524,alter,〜を変える；変わる,"部分的に修正や変更を加えるニュアンスです（服のサイズ直しなど）。派生語：alteration（名：変更・修正）。changeの類義語として重要。"
525,absorb,〜を吸収する；（人）を夢中にさせる,"重要フレーズ：be absorbed in ~（〜に夢中になっている）。液体を吸い上げる意味から、知識を取り入れたり、会社を吸収合併したりする意味にも広がります。"
538,arrange,〜の段取りをつける；〜を配置する；〜を手配する,"重要フレーズ：arrange for ~（〜の手配をする）、arrange to do（〜するよう手配する）。派生語：arrangement（名：手配、配置）。"
539,adjust,〜を調整する；〜を適合させる；順応する,"重要フレーズ：adjust to ~（〜に順応する・慣れる）。環境や新しい状況に自分を合わせる場合によく使います。派生語：adjustment（名：調整）。"
549,alarm,不安；恐れ；警報（装置）；〜を驚かせる,"目覚まし時計の「アラーム」だけでなく、突発的な危険に対する「恐怖・不安」を指します。重要フレーズ：in alarm（恐れて）。"
583,anxious,心配して；切望して,"意味が2つある重要形容詞。be anxious about ~（〜を心配している）、be anxious to do / for ~（〜を切望している）の使い分けをマスターしましょう。派生語：anxiety（名：心配）。"
586,abstract,抽象的な,"対義語は concrete（具体的な）。重要フレーズ：abstract art（抽象芸術）。名詞として「要約・論文の抄録」という意味もあります。"
592,aggressive,攻撃的な；積極的な；意欲的な,"日本語の「アグレッシブ」と同様に、「攻撃的で荒々しい」というマイナスな意味と、「積極的でやる気がある」というプラスの意味の両方があります。"
596,alien,異質の；外国の；宇宙人の；外国人；宇宙人,"重要フレーズ：be alien to ~（〜にとって異質である・なじみがない）。SF映画の「宇宙人」だけでなく、「その土地や文化にとっての異邦人」を広く指します。"
608,abandon,〜を捨てる；〜を放棄する；（計画など）を断念する,"途中で見捨てたり諦めたりするニュアンス。重要フレーズ：abandon the plan（計画を断念する）。派生語：abandoned（形：捨てられた）。"
620,advise,〜に忠告する；〜に助言する,"重要フレーズ：advise A to do（Aに〜するよう勧める）。名詞形は advice（助言 ※不可算名詞なので an advice とは言えない点に注意）。"
622,attach,〜を（取り）付ける；〜を添付する,"重要フレーズ：attach A to B（AをBに取り付ける・添付する）。対義語は detach（〜を切り離す）。派生語：attachment（名：添付ファイル、愛着）。"
650,award,（賞など）を授与する；賞；賞金,"審査を経て公式に与えられる賞を指します（Academy Awardなど）。動詞としては award A B（AにBを授与する）の形で使われます。"
688,absolute,絶対的な；完全な,"他と比較できない確固たる状態を指します。対義語は relative（相対的な）。副詞形の absolutely（絶対に、完全に／［返事として］その通り！）は超頻出。"
713,accompany,〜に同行する；〜に付随して起こる,"他動詞なので accompany with ~ としないよう注意。重要フレーズ：be accompanied by ~（〜を伴う）。派生語：companion（名：仲間）。"
715,annoy,〜を悩ませる；〜をいらいらさせる,"人の感情を動かす動詞なので、be annoyed with [at] ~（〜にいらいらしている）の形を覚えるのが基本です。派生語：annoyance（名：いらだち）。"
717,acknowledge,（事実など）を認める；〜に感謝する,"admitに近い「事実だと認める」という意味のほか、贈り物や手紙の受け取りを確認・感謝するという意味もあります。派生語：acknowledgment（名：承認、謝辞）。"
718,admire,〜に敬服する；〜を称賛する；〜に見とれる,"人の素晴らしい能力や行動に対して尊敬の念を抱くこと。重要フレーズ：admire A for B（BのことでAを称賛する）。派生語：admiration（名：称賛）。"
723,attribute,（結果）を（原因に）帰する；〜のせい［おかげ］にする；特質；属性,"超重要フレーズ：attribute A to B（Aの原因はBにあるとする ※Aが結果、Bが原因）。Aに悪いことだけでなく、良いこと（〜のおかげ）がくる場合もあります。"
730,assist,〜を援助する；〜を手伝う,"helpやaidの類義語。重要フレーズ：assist A with B（AのBを手伝う）。派生語：assistance（名：援助）、assistant（名：助手）。"
739,assign,〜を割り当てる；〜を配属する,"仕事や宿題などを人に割り振る意味。重要フレーズ：assign A to B（AをBに割り当てる）。派生語：assignment（名：宿題、割り当てられた任務）。"
740,accomplish,〜を成し遂げる；〜を達成する,"努力の末に任務や目的を完全にやり遂げること。achieveやfulfillに近い。派生語：accomplishment（名：達成、成果、卓越した技能）。"
752,agent,代理人；仲介者；（諜報）部員；エージェント,"本人の代わりに交渉や手続きを行う人（travel agent：旅行業者など）。また、秘密を扱う「スパイ（secret agent）」の意味もあります。派生語：agency（名：代理店、政府などの機関）。"
779,artistic,芸術的な；芸術の,"派生語：artist（名：芸術家）、art（名：芸術・美術）。artistic talent（芸術的才能）などのフレーズで使われます。"
791,apparent,明白な；一見〜らしい,"外見から見て「一目瞭然な」という意味と、「見たところ〜のようだ（実際は違うかもしれない）」という2つのニュアンスがあります。派生語：apparently（副：見たところでは〜らしい）。"
