番号,単語,意味,解説文
11,decide,を決める；に決着をつける,
18,describe,について述べる，を説明する,
21,design,を設計する；を計画する,
26,deal,を処理する；を商う；を分配する,
36,depend,頼る；～次第である,
38,demand,を要求する,
96,due,予定された；期日で；しかるべき,
100,despite,～にもかかわらず,
112,draw,を引き出す；を引く；を描く,
124,determine,を決定する；を正確に知る,
136,decline,減少する；衰退する；を断る,
155,decade,10年間,
160,damage,損害，損傷；損害賠償金,
166,detail,詳細（な情報），細部,
194,digital,デジタル方式の；デジタル表示の,
223,decrease,減少する；を減らす,
226,define,を定義する；を明確にする,
230,display,を示す；を発揮する；を展示する,
233,doubt,ではないと思う；を疑う,
239,desire,を強く望む,
243,device,装置，機器；方策；デバイス,
264,debate,討論，論争；討論会,
308,divide,を分ける；分かれる,
326,destroy,を破壊する；（人）を破滅させる,
367,disaster,災害；惨事,
373,desert,砂漠；不毛の地,
377,document,（公）文書，書類；記録，資料,
396,domestic,家庭の；国内の；飼いならされた,
401,demonstrate,を論証する；デモをする,
420,deliver,を配達する；（演説）をする；子を産む,
422,distinguish,を区別する,
430,deny,を否定する；を拒む,
456,diversity,多様性；相違点,
463,dialect,方言,
514,differ,異なる,
526,disappoint,を失望させる；（希望など）をくじく,
546,debt,借金，負債；恩義,
548,duty,義務；職務；関税,
551,democracy,民主主義，民主政治；民主国家,
558,disorder,障害，（心身の）不調；混乱,
559,depression,憂うつ；うつ病；不況；低気圧,
563,disadvantage,不利（な点）；障害,
567,discipline,規律，しつけ；訓練；懲戒；学問分野,
581,dramatic,劇的な；演劇の,
582,distinct,明らかに異なる；明瞭な,
606,disagree,不賛成である；意見が食い違う,
625,disturb,をかき乱す；を妨害する；を動揺させる,
665,district,地区；行政区,
672,discount,割引,
676,dialogue,対話，会話；意見の交換,
702,dominate,を支配する；優勢である,
706,discourage,（人）にやる気をなくさせる；を落胆させる,
707,detect,を感知する；を見つけ出す；に気づく,
708,devote,をささげる,
720,declare,を宣言する；を申告する,
764,divorce,離婚；分離,
807,distribute,を分配する；分布する,
816,derive,由来する；を引き出す；を推論する,
817,deserve,に値する,
819,defeat,を負かす；を失敗させる,
822,delight,を喜ばせる；（～を）大いに喜ぶ,
837,defend,を防御する；を弁護する,
865,discrimination,（～に対する）差別；区別,
867,drought,干ばつ；（慢性的な）不足,
887,deaf,耳が聞こえない,
943,dimension,側面，局面；次元；寸法,
1003,donate,を寄付する；（臓器・血液）を提供する,
1015,diminish,を減らす；減少する,
1018,dispute,に異議を唱える；（を）議論する,
1020,distract,（注意など）をそらす,
1025,deprive,から（権利などを）奪う,
1039,dedicate,をささげる；を献呈する,
1048,distress,苦悩；苦痛；困窮,
1064,dementia,認知症,
1066,dilemma,ジレンマ，板ばさみ,
1083,dynamic,活動的な，精力的な；動的な,
1114,dismiss,（意見など）を退ける；を解雇する,
1131,disgust,をむかつかせる；に愛想を尽かせる,
1133,decorate,を装飾する,
1159,diabetes,糖尿病,
1166,deadline,締め切り,
1179,dense,密集した；（霧などが）濃い,
1214,drag,を引きずる；ぐずぐずする,
1221,dye,を染める；染まる,
1227,drain,（液体）を流出させる；（液体が）流れ出る,
1229,drift,漂う；さまよう；を押し流す,
1260,deforestation,森林伐採,
1265,drill,訓練；（反復）練習；ドリル，錐,
1269,debris,（破壊された後の）残骸，瓦礫；がらくた,
1279,decent,まずまずの；きちんとした；上品な,
1283,delicate,繊細な；扱いにくい；もろい,
1287,deliberate,故意の；慎重な,
1288,demographic,人口統計学の,
1309,deceive,をだます,
1315,deposit,を置く；を預ける；を堆積させる,
1319,depict,を描く,
1328,dare,あえて（思い切って）...する,
1337,descend,（を）降りる；受け継がれる,
1342,dignity,尊厳；威厳,
1359,dose,（薬の1回分の）服用量；放射線の1回の照射量,
1374,destiny,運命,
1411,designate,を指定する；を任命する,
1414,disrupt,を混乱させる；を分裂させる,
1415,depart,出発する；（～から）それる,
1419,diagnose,（を）診断する,
1430,disguise,を（～に）変装させる；を偽る,
1431,distort,を歪める；歪む,
1435,dispose,を処分する；を（...する）気にさせる；を配置する,
1436,dump,を投棄する；をどさっと落とす,
1449,dairy,乳製品；乳製品加工所,
1485,dim,薄暗い；ぼんやりした,
1487,disabled,障害のある；障害者用の,
1492,divine,神の；神にささげる,
1493,drastic,徹底的な，抜本的な；極端な,
1511,digest,を消化する；を理解する；を要約する,
1517,drown,溺死する；を水浸しにする,
1518,dip,を浸す；（手など）を突っ込む；下がる,
1528,decay,腐敗する；（徐々に）衰える,
1531,delete,を削除する，消す,
1537,dissolve,（を）溶かす；（議会など）を解散する；（契約など）を解消する,
1551,domain,分野；領域；ドメイン,
1557,despair,絶望,
1614,dictate,を指図する；を書き取らせる；を規定する,
1635,disregard,を無視する；を軽視する,
1644,draft,下書き；為替手形；隙間風,
1653,discourse,話し合い，会話；講演；論説,
1674,defect,欠陥；不足,
1705,disclose,を公表する，暴く,
1717,displace,に取って代わる；を移動させる,
1735,divert,（注意など）をそらす；を迂回させる；を転用する,
1747,deficit,赤字，不足；欠陥,
1766,duration,（時間の）継続，持続（時間）,
1781,diligent,勤勉な；入念な,
1801,deduce,を推測する，演繹する,
1812,doom,運命にある,
1814,dread,をひどく恐れる,
1833,dispatch,を派遣する；を発送する；を処理する,
1843,diplomacy,外交（的手腕）,
1878,doctrine,教義；（政策上の）主義,
1893,dumb,ばかげた；口のきけない；無言の,
1896,dizzy,目まいがする；当惑した,
