番号,単語,意味,解説文
30,encourage,を奨励する；を励ます,
33,exist,存在する；生存する,
48,effect,影響，効果；結果,
51,environment,環境,
64,experiment,実験,
74,evidence,証拠,
111,express,を表す，述べる,
119,establish,を確立する；を設立する,
145,economy,経済（状態）；経済圏；節約,
153,emotion,感情，情動；感動,
186,essential,必要不可欠な；本質的な,
200,eventually,結局（は）,
214,earn,を稼ぐ；を得る；をもたらす,
220,estimate,と推定する；を見積もる；を評価する,
229,exchange,（を）交換する；両替する,
281,efficient,効率的な；有能な,
284,extra,追加の，余分の；別勘定の,
285,entire,全体の，全部の；完全な,
290,equal,（～に）等しい；匹敵する；平等な,
296,extreme,極端な；極度の，過激な,
302,examine,を調べる；を診察する；を尋問する,
305,emerge,現れる；明らかになる；台頭する,
309,enable,（人）が...できるようにする；を可能にする,
312,engage,を従事させる；を雇う；従事する,
316,expand,（を）拡大する；を詳説する,
323,evolve,（徐々に）発展する；進化する,
339,extend,を伸ばす；伸びる；及ぶ,
342,element,要素，成分；元素；少しの,
394,enormous,莫大な，巨大な,
403,educate,を教育する；に教える；（能力など）を養う,
408,explore,（を）調査する；（を）探検する,
415,encounter,に遭遇する；に出会う,
433,expose,をさらす；を暴露する；を露出する,
509,ensure,を確実にする；を守る,
516,emphasize,を強調する；を重視する,
517,employ,を雇う；を使う,
545,expense,経費；費用；犠牲,
550,emergency,緊急（事態）,
588,extraordinary,並はずれた；異常な，驚くべき,
595,ethnic,民族の，人種の；民族特有の,
598,exact,正確な；まさにその,
603,enhance,（価値など）を高める，増す,
634,export,（を）輸出する,
638,eliminate,を取り除く,
639,ease,を軽減する；和らぐ；緩む,
654,exception,（～の）例外,
685,equivalent,等しい，相当する,
693,evil,邪悪な；有害な,
694,extinct,絶滅した；廃止された,
705,embarrass,に恥ずかしい思いをさせる,
714,exhaust,を疲れ果てさせる；を使い尽くす,
716,endanger,を危険にさらす,
719,evaluate,を評価する；を査定する,
746,elite,エリート,
751,editor,編集者；編集長,
798,eager,（～を）熱望して；熱心な,
806,exhibit,を示す，見せる；を展示する,
824,endure,に耐える；（に）持ちこたえる,
838,embrace,を受け入れる；（を）抱擁する；を包含する,
842,enthusiasm,（～への）熱情，熱意,
919,entertain,を楽しませる；をもてなす,
936,exceed,を超える；に勝る,
973,ecology,生態学；生態系；環境保護,
989,external,外部の；対外的な,
1009,exclude,を除外する,
1040,equip,に備えつける,
1050,expedition,遠征（隊），探検（隊）,
1054,ethic,倫理，道徳；倫理（道徳）規範,
1081,elaborate,入念な；凝った,
1121,exaggerate,（を）誇張する；を強調する,
1130,explode,爆発する；急増する；を論破する,
1137,elect,を選出する,
1138,extract,を取り出す，搾り出す；を抜粋する,
1141,empathy,感情移入，共感,
1143,enterprise,企業，事業；企画；進取の気性,
1149,estate,（動産・不動産などの）財産；私有地,
1163,excess,過剰，超過,
1180,exotic,外来の；異国風の,
1202,esteem,を尊敬する；を見なす,
1225,enforce,を施行する；を強制する,
1237,exploit,を活用する；を搾取する，につけ込む,
1322,emit,（光・熱など）を出す，排出する；（信号）を送る,
1350,epidemic,流行（病）；蔓延,
1439,enrich,を豊かにする；（物質）を濃縮化する,
1455,encyclopedia,百科事典,
1504,enroll,登録する，入会する；を登録させる,
1505,entitle,に権利を与える；に題名をつける,
1533,envy,をうらやむ,
1541,entrepreneur,起業家，事業家,
1581,empirical,経験的な；経験主義の,
1596,edible,食用の，食べられる,
1598,explicit,明白な；率直な,
1602,exert,を及ぼす；（力など）を行使する,
1603,excel,（～で）秀でている；に勝る,
1619,enclose,を同封する；を取り囲む,
1620,execute,を実行する；を処刑する,
1624,erase,を消す,
1637,evoke,を呼び起こす,
1642,enlightenment,啓蒙，啓発,
1689,eternal,永遠の；不変の,
1698,extrovert,外向的な；社交的な,
1701,embody,を具現する；を包含する,
1713,erupt,（火山が）噴火する；勃発する,
1716,embed,埋め込まれる，はめ込まれる,
1740,entail,を伴う，引き起こす；（...すること）を含む,
1779,eligible,適格の，資格のある；（結婚相手として）望ましい,
1809,erect,を建てる；を直立させる,
1827,expire,期限が切れる,
1828,embark,（～に）乗り出す；乗船（搭乗）する,
1838,expel,を追放する；を吐き出す,
1844,embassy,大使館；大使一行,
1845,exile,亡命（者）；（国外）追放,
1851,eclipse,（日食・月食などの）食；（名声などの）失墜,
1853,erosion,浸食；衰退,
1855,errand,（人の）使い，使い走り；用件,
1881,earnest,まじめな，熱心な,
1886,eloquent,雄弁な；説得力のある,
