番号,単語,意味,解説文
2,increase,増加する；を増やす,
3,improve,を向上させる；よくなる,
6,include,を含む,
19,involve,を関与させる；を伴う,
41,idea,考え，思いつき；理解；見解；概念,
44,interest,興味；利子；利害,
49,influence,影響（力）,
63,issue,問題（点）；発行；発表,
82,individual,個々の；個人の,
105,imagine,（を）想像する；推測する,
143,industry,産業；勤勉,
152,image,印象，イメージ；画像；像,
161,impact,影響；衝突；衝撃（力）,
170,item,品目，項目；記事,
171,income,収入；所得,
178,instance,（具体的な）例，実例；場合,
201,identify,を特定する；を同一視する,
203,indicate,を指し示す；を述べる,
224,ignore,を無視する,
280,ideal,理想的な；観念的な,
295,independent,（～から）独立した,
355,institution,機関；協会；施設；制度,
379,intelligent,聡明な；知能を有する,
423,imply,を暗に意味する；を必然的に伴う,
427,insist,（を）強く主張する；要求する,
432,intend,を意図する,
435,inspire,（人）を奮起させる；を喚起する,
442,instruction,指示；（製品の）使用書,
449,instrument,器具；楽器,
498,immediate,即座の；当面の；直接の,
501,interpret,を解釈する；（を）通訳する,
508,inform,に知らせる；情報を提供する,
537,interact,影響し合う；相互に作用する,
541,insight,見識，理解（力）；洞察力,
542,innovation,革新；新機軸,
561,immigration,（他国からの）移民，移住；入国管理,
575,ingredient,材料，成分；（成功の）要因,
597,initial,初めの,
616,invest,（を）投資する；に（～を）与える,
619,illustrate,を説明する；に挿絵を入れる,
629,impress,を感動させる；に印象を与える,
633,import,を輸入する；を取り込む,
635,investigate,を調査する；を究明する,
644,incident,出来事，事件；紛争,
659,insurance,保険；保険料；保険金,
680,internal,内部の；国内の；内面的な,
691,intense,強烈な；熱烈な,
712,isolate,を孤立させる,
729,imitate,をまねる；を模造する,
767,inequality,不平等；不公平な事柄,
797,incredible,信じられない；すばらしい,
826,impose,を課す；を押しつける,
830,interrupt,を中断させる；（の）邪魔をする,
852,infection,感染（症）,
856,instinct,本能；勘，直感；衝動,
859,incentive,動機（づけ）；報奨金,
864,illusion,錯覚，思い違い；幻想,
891,instant,即時の，すぐの；即席の,
893,immune,（～に対して）免疫を持つ；（～を）免れた,
896,inevitable,避けられない,
920,interfere,干渉する，介入する；邪魔する,
982,informal,形式ばらない，略式の；（言葉が）くだけた,
1014,install,をインストールする；を設置する；を就任させる,
1042,input,入力（情報），投入；（情報・時間などの）提供,
1046,infrastructure,インフラ，基本的施設；（経済）基盤,
1088,innocent,無罪の；無邪気な；無知の,
1091,indifferent,無関心な,
1092,inferior,より劣った,
1096,intimate,親密な；密接な,
1139,inherit,を受け継ぐ；を相続する,
1189,indigenous,原産の，先住の；（その土地に）固有の,
1194,irrelevant,（～にとって）無関係の；見当違いの,
1200,inclined,傾向がある；傾いた,
1201,infer,を推論する，推測する,
1223,irritate,をいらいらさせる；をひりひりさせる,
1224,insult,を侮辱する,
1238,implement,を実行する，実施する,
1239,integrate,を統合する；融合する,
1240,incorporate,を取り入れる；を法人にする；合併する,
1243,impulse,衝動；刺激,
1266,inability,無能，無力,
1272,index,指標；索引；指数,
1273,intuition,直観（力），直感,
1284,interior,室内の；内部の,
1290,innate,生まれながらの；固有の,
1358,irrigation,灌漑,
1368,intake,摂取量；受け入れ数；取り入れること,
1381,infinite,無限の；無数の,
1383,indispensable,不可欠な,
1394,imperial,帝国の；皇帝の,
1399,inherent,生来の，本来的に備わっている,
1405,induce,を引き起こす；を説得する,
1418,inhabit,に住んでいる；に宿る，存する,
1442,internship,実務（医学）研修；研修期間,
1469,interval,（時間の）間隔；合間；隔たり；小休止,
1484,insufficient,不十分な；不適当な,
1508,invade,を侵略する；を侵害する；（場所）に殺到する,
1527,intrigue,に興味を持たせる；陰謀を企てる,
1544,inflation,インフレーション；（物価の）高騰,
1548,ideology,イデオロギー，思想傾向,
1572,intellect,知性；知識人,
1582,immense,膨大な,
1606,intervene,（～に）介入する；介在する,
1607,insert,を挿入する,
1616,inhibit,を抑制する；を妨げる,
1627,inquire,（を）尋ねる,
1668,irony,皮肉,
1690,intermediate,中級の；中間の,
1700,intact,損なわれていない，手つかずの,
1702,illuminate,を照らす；を解明する,
1730,impair,を損なう,
1739,inspect,を点検する；を視察する,
1780,intrinsic,固有の，本質的な,
1795,implicit,暗黙の；内在する,
1816,inject,（人）に注射する，を注入する；を導入する,
1882,intelligible,（簡単に）理解できる,
