番号,単語,意味,解説文
5,own,を所有している；（事実・罪など）を認める,
12,offer,を提供する，申し出る,
37,object,反対する；と言って反対する,
108,occur,起こる；心に浮かぶ；現れる,
141,opportunity,機会,
187,official,公用の；公式の；役所の,
218,observe,に気づく；を観察する；を遵守する,
257,option,選択（の自由）；選択肢,
287,obvious,明らかな,
289,ordinary,一般の，普通の；並の,
328,organize,を準備する；を組織する,
331,operate,を操作する；機能する；手術する,
346,origin,起源；源,
386,overall,総合的な；全体的な,
399,overseas,海外へ，に，で,
452,outcome,結果；成果,
458,occasion,場合，時；行事；機会,
474,organ,器官，臓器；組織；（パイプ）オルガン,
491,odd,奇妙な；奇数の,
506,overcome,を克服する,
507,obtain,を得る,
513,oppose,に反対する；を対比させる,
737,owe,に借りがある；のおかげである,
762,opponent,（試合・論争などの）相手；反対者,
809,occupy,（空間・時間）を占める；を占領する,
847,orbit,軌道；（活動・勢力などの）範囲,
861,obstacle,（～に対する）障害（物）,
882,optimistic,楽観的な,
906,overwhelm,を圧倒する；を（精神的に）打ちのめす,
1010,overlook,を見落とす；を大目に見る；を見渡す,
1023,obey,に従う；に服従する,
1087,oral,口頭の,
1094,obese,肥満した,
1102,orient,（人）を（環境などに）慣らす；（関心などが）向いている,
1144,output,生産（高）；出力；排出（量）,
1258,offspring,子孫，子；成果,
1300,ongoing,継続している，進行中の,
1320,outline,の要点を述べる；の輪郭を描く,
1331,offend,の気分を害する；（に）違反する,
1351,outbreak,発生，勃発,
1379,outstanding,際立った；未払いの；未解決の,
1387,obscure,（世に）知られていない；不明瞭な,
1421,oblige,に義務づける；に恩恵を施す,
1443,outlet,直売店，特売店；はけ口；コンセント,
1461,outlook,見解；見通し；眺め,
1566,odor,におい；気配,
1576,obsession,（考えなどに）取りつかれること；強迫観念,
1608,overtake,を追い抜く；に追いつく；（災難などが）を襲う,
1715,overlap,（一部）重なる；（と）重複する,
1790,obsolete,廃れた，使われなくなった；古くなった,
1824,offset,を相殺する，埋め合わせる,
1837,oppress,を抑圧する，迫害する；を悩ませる,
1865,outfit,衣装一式；装備（道具）一式；組織,
1875,orphan,孤児,
