番号,単語,意味,解説文
13,require,を要求する；を必要とする,
20,reduce,を減らす；を変える,
28,relate,を関連づける；関連する,
29,realize,に気づく；を実現する,
45,research,研究，調査,
47,reason,理由；根拠；理性；分別,
70,role,役割；役,
87,recent,最近の,
102,refer,言及する；参照する,
106,recognize,を識別できる；を認める,
132,regard,を見なす；を見る；を評価する,
133,respect,を尊敬する；を尊重する,
156,range,範囲；射程距離；（同類の）組,
163,resource,資源；資金；才覚,
164,region,地域；領域；部位,
202,represent,を表す；を代表する；に相当する,
208,replace,に取って代わる；を取り替える,
219,reveal,を明らかにする；を見せる,
221,reflect,を反映する；を反射する；を熟考する,
231,respond,反応する；答える,
234,remove,を取り除く；を解雇する,
237,relax,くつろぐ；緩む；をくつろがせる,
258,reward,報酬；報い,
259,race,人種；民族；競争,
277,revolution,革命；回転；公転,
293,rare,まれな，珍しい；希少な,
307,release,を放出する；を解放する；を発表する,
311,rely,頼る,
317,refuse,を拒む；を断る；拒絶する,
319,repeat,（を）繰り返す；を復唱する,
325,recall,を思い出す；を呼び戻す,
353,resident,居住者；滞在者,
387,rural,田舎の，田園の,
405,recommend,を勧める,
416,remind,に思い出させる,
429,rank,を位置づける；（ある地位に）位置する,
431,reject,を拒否する,
439,repair,を修理する；を修復する,
443,religion,宗教；信条；信仰（心）,
454,review,（書物などの）論評；再調査；復習,
497,regardless,（～に）かまわない，無頓着な,
504,request,に（...するように）頼む；を要請する,
523,regret,を後悔する,
529,rush,急いで行く；性急に行動する；をせき立てる,
534,recover,回復する；を取り戻す,
557,route,道（筋）；路線，ルート；手段,
566,routine,決まり切った仕事；いつもの手順,
605,react,反応する；化学反応を起こす,
614,rent,を賃借りする；を賃貸しする,
617,reserve,を予約する；を取っておく；（判断など）を保留する,
678,reputation,評判；名声,
682,remote,（～から）遠く離れた；かけ離れた,
686,rational,理性的な；合理的な,
687,relevant,関係がある；適切な,
695,random,無作為の；手当たり次第の,
696,raw,生の；未加工の,
697,rude,無礼な；粗野な,
711,restrict,を制限する,
726,reverse,を逆転させる；を反対にする,
727,resist,に抵抗する；を我慢する,
731,resemble,に似ている,
732,retire,（～から）引退する，退職する；退く,
735,reform,を改革する；を改心させる,
755,row,列；（建物が並ぶ）通り,
792,reluctant,気が進まない，嫌がる,
795,royal,王の,
803,remark,と述べる；意見を述べる,
815,relieve,を和らげる；安心する；を解放する,
827,rescue,を救う,
828,resolve,を解決する；を決意する；を議決する,
829,register,を記録する，登録する；（～に）登録する,
831,rid,から（～を）取り除く，除去する,
836,ruin,をだめにする；を破滅させる；破滅する,
870,recipe,調理法，レシピ；手順；秘訣,
873,ritual,儀式；（日常の）習慣的行為,
883,rough,粗い；大まかな；乱暴な,
913,restore,を回復させる；を修復する,
916,retain,を保持する；を覚えている,
917,reproduce,を複製する；を繁殖させる；繁殖する,
925,regulate,を規制する；を調整する,
975,ratio,比率,
980,radical,急進的な；根本的な,
1047,ray,光線；ひらめき，一筋の光明,
1106,resort,（好ましくない手段に）訴える，頼る,
1107,reinforce,を強化する；を補強する,
1140,rear,（人・動物・植物）を育てる,
1154,retail,小売り,
1161,reef,（岩や砂の）礁；暗礁,
1171,recession,不況；後退,
1172,retreat,後退，退却；撤回,
1195,ridiculous,ばかげた；法外な,
1226,rob,から（金品を）奪う,
1231,revise,を修正する；を改訂する,
1232,recruit,を募る；に新人を補充する,
1264,recipient,受け取る人；（臓器などの）被提供者,
1267,republic,共和国；共和制,
1303,revive,を復活させる；復活する,
1323,renew,を更新する；（資源）を再生する,
1336,rub,（を）こする；（～に）を塗る,
1363,rumor,うわさ,
1402,refresh,（気分）をさわやかにする；（記憶など）を新たにする,
1408,retrieve,（情報）を検索する；を取り戻す；を回復する,
1438,refine,を洗練する；を精製する,
1444,remedy,治療（法）；治療薬；解決法,
1446,reception,反応；宴会；受付；受信（状態）,
1459,rubbish,ごみ；つまらないもの,
1477,revenue,歳入；収益,
1502,regain,を取り戻す,
1513,refrain,控える,
1522,reassure,を安心させる,
1523,resume,（を）再開する；を取り戻す,
1536,resign,（を）辞任する；を放棄する,
1550,realm,領域；領土,
1558,radiation,放射能，放射線,
1571,revenge,復讐,
1618,roam,（を）歩き回る；放浪する,
1634,recite,を暗唱する；を詳述する,
1661,rage,激怒；猛威,
1682,rigid,厳しい；硬直した,
1707,rotate,回転する；循環する；を回転させる,
1718,render,を（ある状態に）する；（援助など）を与える,
1733,roar,うなる，ほえる；大笑いする,
1755,rebel,反逆者,
1756,regime,政権，政体；体制,
1772,rhyme,押韻詩；韻；詩歌,
1788,ripe,熟した；成熟した,
1825,restrain,を制止する；を規制する,
1834,resent,に憤慨する,
1835,reconcile,を（～と）一致させる；を和解させる,
1842,reign,治世；統治,
1846,refuge,避難（所）；保護,
1857,rhetoric,修辞（法）；美辞麗句,
1867,reunion,再会（の集い）；再結合,
1884,reckless,無謀な；（～を）顧みない,
