番号,単語,意味,解説文
9,suggest,を提案する；を暗示する,
14,share,を共有する；を分担する,
15,store,を保存する；を蓄える,
50,situation,状況；立場,
52,skill,技能；熟練,
56,species,（生物の）種；種類,
67,subject,話題；科目；主題；被験者,
72,statement,声明；主張；明細書,
75,source,源，根源；出所，情報源,
86,similar,似ている，類似した；同様の,
107,solve,を解く；を解決する,
115,spread,を広める；広がる,
120,supply,を供給する,
121,suppose,と思う；と仮定する,
134,search,捜す；を捜索する；を調べる,
138,suffer,苦しむ；患う；を経験する,
139,survive,を切り抜けて生き残る；生き延びる,
154,stress,ストレス；圧力；強調,
173,site,用地，場所；跡地；サイト,
175,structure,構造；体系；構造物,
184,specific,特定の；明確な，具体的な；特有の,
185,significant,重要な，重大な；意義深い,
207,survey,を調査する；をじろじろ見る；を概観する,
209,sort,を分類する；をえり分ける,
217,seek,を追い求める；を要請する,
238,satisfy,を満足させる；（条件など）を満たす,
240,succeed,（～に）成功する；継承する,
250,section,部門；部分；地区；欄,
252,surface,表面；外見,
256,status,地位；状態,
262,struggle,闘い；懸命の努力,
270,strategy,戦略,
304,stick,を動けなくする；を突き刺す；くっつく,
313,shift,を変える；変わる；移動する,
318,strike,の心を打つ；を襲う；を打つ,
322,select,を選ぶ，えり抜く,
333,surround,を取り巻く；にまつわる,
358,sight,光景；名所；見えること；視力,
362,symbol,象徴，シンボル；記号；標章,
374,soil,土地，土壌；（悪事などの）温床,
392,severe,（人・規律・事態などが）厳しい；猛烈な,
411,settle,を解決する；（に）移り住む；を落ち着かせる,
437,spell,（語）をつづる；という語になる,
460,stock,在庫品；蓄え；株,
467,stuff,（漠然と）物；素材；素質,
478,substance,物質；実体；趣旨,
483,sufficient,十分な；適切な,
489,strict,（規則などが）厳しい；厳格な,
493,superior,よりすぐれた,
494,sensitive,敏感な；神経質な；微妙な,
500,somewhat,いくぶん，多少,
556,stereotype,固定観念；決まり文句,
573,statistics,統計；統計学,
589,stable,安定した；動じない,
602,stimulate,を刺激する,
607,stare,じっと見る；を見つめる,
623,stretch,を伸ばす；を広げる；伸びる；及ぶ,
630,suspect,ではないかと思う；（人）を疑う,
641,sequence,連続；一連（のもの）,
643,symptom,症状；兆候,
646,sum,（金）額；合計；要点,
658,surgery,（外科）手術；外科，外科医学,
661,shelter,避難（所），保護,
681,solid,しっかりした；硬い；固体の,
684,sophisticated,高性能の，精巧な；洗練された,
721,secure,を確保する；を守る,
722,specialize,専門とする；（～を）専攻する,
728,scare,をおびえさせる；を脅す,
738,sustain,を持続させる；を支える,
756,sacrifice,犠牲；いけにえ,
758,session,集まり；（議会の）会期,
772,sector,（社会・経済などの）部門；地域,
784,slight,わずかな；取るに足らない,
788,subtle,微妙な；希薄な,
845,span,期間；範囲,
850,soul,精神；魂，霊魂；生気,
863,stem,（草木の）茎，幹,
866,shame,恥；残念なこと,
874,sake,のために，の目的で,
892,spare,余分の，予備の,
898,steady,着実な，一定の；安定した,
902,sue,を告訴する；訴訟を起こす,
904,slip,滑る；滑り落ちる；そっと動く,
910,substitute,を代わりに使う；（～の）代理をする,
912,shrink,縮む，縮小する；減少する；ひるむ,
926,scan,を走査する；をざっと見る；を注意深く調べる,
928,submit,を提出する；（～に）従う,
945,sensation,感覚；大評判,
949,semester,（2学期制の）学期,
956,scenario,（予想される）筋書き，事態；脚本,
968,skeleton,骨格；骨組み；概略,
970,stroke,脳卒中；（ボールを）打つこと；（雷などの）一撃,
974,sibling,きょうだい（の1人）,
997,spiritual,精神の；霊的な,
1007,split,を分割する；を分担する；分裂する,
1044,sympathy,同情；共感,
1052,shade,（日）陰；色合い；日よけ；微妙な相違,
1057,scheme,計画；体系；陰謀,
1089,subsequent,その後の,
1090,shallow,浅い；浅薄な,
1098,sacred,神聖な；宗教的な；厳粛な,
1099,simultaneously,（～と）同時に；一斉に,
1103,surf,（インターネット上の情報など）を見て回る；サーフィンをする,
1118,swallow,（を）飲み込む；をうのみにする；に耐える,
1119,seal,を密閉する；に封をする,
1126,sweep,（を）掃く；を一掃する；さっと通過する,
1128,spoil,を台無しにする；を甘やかす；だめになる,
1156,scent,（よい）香り；香水,
1158,supplement,栄養補助剤，サプリメント；補足,
1168,slavery,奴隷制度；苦役,
1175,scenery,景色；背景,
1177,sculpture,彫刻（作品）,
1183,sensible,賢明な；実用的な；顕著な,
1191,seasonal,季節の，季節的な,
1197,sensory,感覚の,
1212,spin,回転する；を回転させる；（糸）を紡ぐ,
1216,scatter,をまき散らす；分散する,
1222,spill,をこぼす；こぼれる,
1228,suspend,を停職にする；を一時的に中断する,
1244,script,台本；筆跡,
1249,syndrome,症候群；～現象,
1281,straightforward,単純な；率直な,
1296,steep,（傾斜が）急な；急激な；法外な,
1308,suppress,を抑える；を抑圧する,
1311,starve,飢える；（～を）渇望する；を飢えさせる,
1317,swing,を揺らす，振る；揺れる；さっと移る,
1321,shed,を捨て去る；（光など）を放つ；（涙・血）を流す,
1326,strain,に負担をかける；を緊張させる；を漉す,
1327,strive,努力する；争う,
1330,startle,をびっくりさせる,
1360,suicide,自殺；自殺的行為,
1365,signature,署名；特徴,
1369,spectrum,スペクトル；（波動・変動の）範囲,
1375,skull,頭骨，頭蓋骨；頭脳,
1388,skeptical,（～に）懐疑的な,
1390,static,静的な；動きのない,
1396,superficial,表面的な,
1397,scarce,乏しい；珍しい,
1407,spray,を吹きかける，に吹きつける,
1410,scratch,を引っかく；を取り消す，削除する,
1413,sigh,ため息をつく,
1426,spark,を引き起こす；を刺激する；スパークする,
1427,seize,をつかむ；を奪い取る；を没収する,
1428,soar,急上昇する；空高く飛ぶ,
1434,strip,を取り去る；を裸にする,
1465,spectator,（試合などの）観客,
1466,sphere,領域；球体；天体,
1479,supreme,最高の,
1482,sincere,心からの；誠実な,
1495,sole,唯一の；単独の；独占的な,
1496,spontaneous,自然発生的な；自発的な,
1497,spatial,空間の,
1509,squeeze,押し入る；を押し込む；（を）搾る,
1516,steer,（を）操縦する；を向ける,
1519,soak,を浸す；をずぶぬれにする；浸る,
1520,stir,をかき回す；を揺り動かす,
1524,speculate,（と）推測する；投機する,
1525,surpass,を上回る,
1530,swell,膨張する，腫れる；を膨らませる,
1542,stake,利害関係；賭け金；杭,
1543,surplus,余剰，過剰；黒字,
1545,sweatshop,搾取工場,
1547,sociology,社会学,
1556,shield,盾，防御物,
1561,spouse,配偶者,
1589,swift,素早い,
1592,sore,痛い；腹が立って,
1595,susceptible,（～の）影響を受けやすい；感染しやすい,
1597,sheer,純然たる，真の；すごい；（布が）薄地の,
1605,surge,殺到する；（感情が）こみ上げる；急騰する,
1609,snap,をパチンと鳴らす；をポキッと折る；ポキッと折れる,
1617,stray,はぐれる，（道に）迷う,
1630,smash,を粉砕する；を強打する；粉々に壊れる,
1632,sprawl,（都市などが）不規則に広がる；だらしなく手足を伸ばす,
1654,superstition,迷信,
1662,sorrow,悲しみ,
1665,stall,露店；エンスト；失速,
1675,sanitation,公衆衛生（学）；下水設備,
1677,scope,（活動・能力などの）範囲；余地,
1678,sentiment,感情；感想；感傷,
1691,subordinate,（～より）下位の；副次的な,
