番号,単語,意味,解説文
54,view,見解；見方；眺め,
55,value,価値；価格；評価；価値観,
92,various,さまざまな；いくつかの,
283,vast,莫大な；広大な,
306,vary,さまざまである；変わる；を変える,
357,vote,投票；投票結果；選挙権,
364,version,（本・製品などの）版；解釈,
378,vocabulary,語彙,
393,visual,視覚の；目に見える,
457,victim,犠牲（者），被害者,
495,violent,（人・気質などが）激しい；暴力的な,
496,virtual,仮想の；事実上の,
584,vital,必要不可欠な；活気のある；生命にかかわる,
593,visible,（目に）見える；明白な,
657,virus,ウイルス；（感染症の）病原体,
679,verbal,言葉の；口頭での；動詞の,
800,via,～経由で；～の媒介で,
953,vice,（道徳上の）悪；欠点,
960,vaccine,ワクチン,
995,vulnerable,（攻撃などに）弱い，もろい；傷つきやすい,
1078,virtue,美徳；長所；効能,
1080,valid,妥当な；有効な,
1100,versus,A対B；AかBか,
1123,vanish,消える,
1185,vague,漠然とした，あいまいな；おぼろげな,
1188,vertical,垂直の；縦方向の,
1199,voluntary,自発的な；無償の,
1204,venture,危険を冒して進む；を思い切ってする,
1307,violate,（法律・規則など）に違反する；を侵害する,
1392,vocal,声の，発声の；はっきりものを言う,
1393,vivid,鮮やかな；生き生きとした,
1473,vacuum,真空；空虚,
1594,vain,無駄な；うぬぼれた,
1680,vigorous,精力的な；激しい；活力のある,
1704,verify,の正しさを証明する，確認する,
1760,vendor,物売り，行商人；自動販売機,
1764,vessel,船舶；容器；（体液が通る）脈管,
1782,vocational,職業の，職業訓練の（ための）,
1791,vacant,空いている,
1858,verse,韻文；詩,
