番号,単語,意味,解説文
104,wonder,かなと思う；驚く,
113,waste,を浪費する，無駄にする,
191,worth,（...する）に値する；の価値がある,
235,wind,（ねじなど）を巻く；（道などが）曲がりくねる,
298,willing,いとわない，かまわないと思う,
300,whereas,～するのに（対し），～する一方,
329,warn,（人）に警告する，注意する,
354,wealth,富；資源；富裕,
361,web,ウェブ；（クモの）巣,
482,widespread,広範囲にわたる；広く普及した,
560,weapon,兵器，武器,
578,welfare,福祉，幸福,
645,witness,目撃者；証人；証拠，証言,
741,wisdom,知恵；賢明さ；学識,
821,wed,と結婚する；を結婚させる,
907,wander,歩き回る；それる；はぐれる,
950,workforce,労働人口，総労働力；全従業員（数）,
958,wound,（銃弾・刃物などによる）傷；痛手,
1072,wilderness,荒野；放置された部分,
1125,wipe,を拭く；を拭き取る；を消し去る,
1218,withdraw,を引き出す；を撤回する；撤退する,
1299,wireless,無線（電信）の，ラジオの,
1313,whisper,（を）ささやく,
1334,worsen,を悪化させる；悪化する,
1378,worship,崇拝，礼拝（式）；賛美,
1382,worthwhile,価値がある；立派な,
1437,weave,を織る；（計画・物語など）を作り上げる,
1584,weird,異様な，奇妙な,
1664,ward,行政区；病棟,
1669,warrior,戦士,
1710,withstand,に耐える,
1897,weary,疲れ果てた；（～に）うんざりした,
