番号,単語,意味,解説文
8,allow,を許す；を与える；考慮に入れる,
25,affect,に影響を及ぼす；を感動させる,effect（効果・影響）と混同しやすい。affectは動詞「影響を与える」、effectは名詞「影響・結果」。例：The weather affected our plans.（天気が計画に影響した）
27,avoid,を避ける,
42,accord,一致；合意，協定,
65,article,記事；条項；品物,
79,appropriate,（～に）適切な,
93,available,手に入る；利用できる；手が空いている,
98,ancient,古代の；昔からの,
103,approach,に近づく；に取り組む,
109,argue,と主張する；議論する,
114,advance,を進歩させる；進歩する；進む,
118,achieve,を達成する；を成し遂げる,achievement（成果・業績）の動詞形。「努力して目標を達成する」という意味合いが強い。例：She achieved her goal.（彼女は目標を達成した）
127,apply,を適用する；申し込む；適用される,
147,account,説明；勘定；口座,
158,advantage,利点；優勢；有利,
169,access,利用，入手；接近,
172,attitude,態度；考え方，心構え,
174,aspect,（物事の）側面；観点；様相,
189,academic,学問の；大学の,
190,aware,気づいて，知って,
193,active,積極的な；活動的な；効力のある,
205,attend,に出席する；を世話する；対処する,
211,associate,を結び付けて考える；交際する,
212,attempt,を試みる，企てる,
222,attract,を引きつける,
227,adapt,適応する；を適合させる,
236,assume,を当然のことと思う；と仮定する；を引き受ける,
251,audience,聴衆，観客；視聴者,
273,aim,目的，目標；狙い,
274,ancestor,祖先；原型,
297,actual,実際の，現実の,
314,adopt,を採用する；（態度など）をとる；を養子にする,
315,acquire,を得る；を習得する,
330,address,（問題など）に対処する；に演説する,
340,appreciate,を正当に評価する；を鑑賞する；を感謝する,
345,atmosphere,大気；雰囲気,
356,authority,（関係）当局；権威；権限,
363,analysis,分析（結果）,
375,agriculture,農業；農学，畜産,
382,accurate,正確な；精密な,
384,artificial,人工の；不自然な,
406,admit,（を）（しぶしぶ）認める；に入場を認める,
409,amaze,をびっくりさせる,
412,afford,を持つ余裕がある；を与える,
414,advertise,を宣伝する；広告を出す,
418,aid,を援助する，助ける,
426,appeal,訴える；抗議する；上訴する,
486,annual,年1回の，例年の；1年間の,
510,announce,を発表する，知らせる,
521,arise,生じる,
524,alter,を変える；変わる,
525,absorb,を吸収する；を夢中にさせる,
538,arrange,の段取りをつける；を手配する；を配置する,
539,adjust,を調整する；を適合させる；順応する,
549,alarm,不安，恐れ；警報装置,
583,anxious,心配して；切望して,
586,abstract,抽象的な,
592,aggressive,攻撃的な；意欲的な,
596,alien,（～にとって）異質の；外国の；宇宙人の,
608,abandon,を捨てる；を放棄する，断念する,
620,advise,に忠告する，助言する,
622,attach,を（取り）付ける；を付与する,
650,award,（～の）賞；（証書などの）授与,
688,absolute,絶対的な,
713,accompany,に同行する；に付随する,
715,annoy,を悩ます；腹が立つ,
717,acknowledge,（事実など）を認める；に謝意を表す,
